case_no,casetype,casesubtype,site_addr
CE1301-0023,PARKING,SINGLE FAMILY,2709 ROBINWOOD LN
CE1301-0024,TRASHDEBRIS,RESIDENTIAL,921 EDGEWOOD PL
CE1301-0025,PARKING,SINGLE FAMILY,1000 1002 MULKEY LN
CE1301-0026,PARKING,SINGLE FAMILY,821 EDGEWOOD PL
CE1301-0027,INOPERABLE VEHICLE,VEHICLE,1008-1010 MULKEY LN
CE1301-0028,TRASHDEBRIS,VEHICLE,1008-1010 MULKEY LN
CE1301-0029,TRASHDEBRIS,RESIDENTIAL,922 EDGEWOOD PL
CE1301-0030,TRASHDEBRIS,RESIDENTIAL,1610 LAURELWOOD DR
CE1301-0031,TRASHDEBRIS,RESIDENTIAL,1104-1106 MULKEY LN
CE1301-0032,TRASHRECYCLE BINS,CURB WRONG TIME,1104-1106 MULKEY LN
CE1301-0033,TRASHDEBRIS,RESIDENTIAL,714-716 ROBERTS ST
CE1301-0034,PARKING,SINGLE FAMILY,1315 MOZINGO ST
CE1301-0035,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,727-729 WOODLAND ST
CE1301-0036,MINIMUM BUILDING STA,EXT WALLS SURFACES,727-729 WOODLAND ST
CE1301-0037,MINIMUM BUILDING STA,EXT WALLS SURFACES,727-729 WOODLAND ST
CE1301-0038,MINIMUM BUILDING STA,EXT WALLS SURFACES,727-729 WOODLAND ST
CE1301-0039,MINIMUM BUILDING STA,EXT WALLS SURFACES,727-729 WOODLAND ST
CE1301-0040,TRASHDEBRIS,,1506 MOZINGO ST
CE1301-0041,PARKING,,1506 MOZINGO ST
CE1301-0042,PARKING,,1506 MOZINGO ST
CE1301-0043,TRASHDEBRIS,RESIDENTIAL,727-729 WOODLAND ST
CE1301-0044,TRASHDEBRIS,RESIDENTIAL,2425 OLD NORTH RD
CE1301-0048,ZONING,OS (COMMERCIAL),9070 TEASLEY LN
CE1301-0050,PARKING,SINGLE FAMILY,3109 OCEAN DR
CE1301-0058,TRASHDEBRIS,COMMERCIAL,1003 Maple
CE1301-0059,ORDINANCE OTHER DEPT,RESIDENTIAL,3316 HOFSTRA DR
CE1301-0060,PARKING,SINGLE FAMILY,1515 MOZINGO ST
CE1301-0061,TRASHDEBRIS,RESIDENTIAL,1614 MOZINGO ST
CE1301-0062,PARKING,SINGLE FAMILY,1420 SNYDER ST
CE1301-0063,OUTSIDE STORAGE,RESIDENTIAL,1521 SNYDER ST
CE1301-0064,TRASHDEBRIS,RESIDENTIAL,1605 WHITE OAK CT
CE1301-0065,TRASHRECYCLE BINS,RESIDENTIAL,1605 WHITE OAK CT
CE1301-0066,TRASHDEBRIS,RESIDENTIAL,801 PINCKNEY DR
CE1301-0067,TRASHRECYCLE BINS,RESIDENTIAL,801 PINCKNEY DR
CE1301-0068,PARKING,RESIDENTIAL,801 PINCKNEY DR
CE1301-0069,PARKING,SINGLE FAMILY,1717 REDWOOD PL
CE1301-0070,TRASHDEBRIS,RESIDENTIAL,1816 REDWOOD PL
CE1301-0071,ZONING,SIGNAGE,2430 S I-35E
CE1301-0072,ZONING,SIGNAGE,2200 SAN JACINTO BLVD
CE1301-0073,ZONING,SIGNAGE,2530 W UNIVERSITY DR
CE1301-0074,OUTSIDE STORAGE,RESIDENTIAL,620 ULAND ST
CE1301-0075,TRASHDEBRIS,VACANT LOT,624 ULAND ST
CE1301-0076,OUTSIDE STORAGE,RESIDENTIAL,512 ROSE ST
CE1301-0077,TRASHDEBRIS,RESIDENTIAL,406 N BRADSHAW ST
CE1301-0078,OUTSIDE STORAGE,RESIDENTIAL,312 N BRADSHAW
CE1301-0079,TRASHDEBRIS,RESIDENTIAL,312 N BRADSHAW
CE1301-0080,PARKING,SINGLE FAMILY,3125 PINEHURST CT
CE1301-0081,TRASHDEBRIS,RESIDENTIAL,1001 GREENBEND DR
CE1301-0082,PARKING,SINGLE FAMILY,423 N CRAWFORD ST
CE1301-0083,PARKING,SINGLE FAMILY,423 N CRAWFORD ST
CE1301-0084,PARKING,BLOCKING SIDEWALK,1109 GREENBEND DR
CE1301-0085,PARKING,BLOCKING SIDEWALK,941 SPRINGCREEK DR
CE1301-0086,TRASHDEBRIS,RESIDENTIAL,423 N CRAWFORD ST
CE1301-0087,TRASHDEBRIS,RESIDENTIAL,1005 SPRINGCREEK DR
CE1301-0088,OUTSIDE STORAGE,RESIDENTIAL,1012 SPRINGCREEK DR
CE1301-0089,PARKING,SINGLE FAMILY,1108 SPRINGCREEK DR
CE1301-0090,PARKING,BLOCKING SIDEWALK,3305 BENT CREEK DR
CE1301-0091,TRASHDEBRIS,VACANT LOT,501 N CRAWFORD ST
CE1301-0092,INOPERABLE VEHICLE,MOTOR VEHICLE,4405 SONOMA DR
CE1301-0093,PARKING,BLOCKING SIDEWALK,4401 SONOMA DR
CE1301-0094,OUTSIDE STORAGE,RESIDENTIAL,3900 SHIRAZ DR
CE1301-0095,TRASHDEBRIS,RESIDENTIAL,3900 SHIRAZ DR
CE1301-0096,PARKING,SINGLE FAMILY,607 N CRAWFORD ST
CE1301-0097,OUTSIDE STORAGE,RESIDENTIAL,4009 SHIRAZ DR
CE1301-0098,FENCES,RESIDENTIAL,4504 JOE VAN WAY
CE1301-0099,FENCES,RESIDENTIAL,4508 JOE VAN WAY
CE1301-0100,FENCES,RESIDENTIAL,4512 JOE VAN WAY
CE1301-0101,FENCES,RESIDENTIAL,4516 JOE VAN WAY
CE1301-0102,FENCES,RESIDENTIAL,4520 JOE VAN WAY
CE1301-0103,FENCES,RESIDENTIAL,3520 HORNBEAM ST
CE1301-0104,TRASHDEBRIS,RESIDENTIAL,908 SIERRA DR
CE1301-0105,TRASHRECYCLE BINS,RESIDENTIAL,908 SIERRA DR
CE1301-0106,PARKING,SINGLE FAMILY,716 JUNO LN
CE1301-0107,OUTSIDE STORAGE,RESIDENTIAL,611 APOLLO DR
CE1301-0108,PARKING,SINGLE FAMILY,614 N CRAWFORD ST
CE1301-0109,OUTSIDE STORAGE,RESIDENTIAL,626 N CRAWFORD ST
CE1301-0110,OUTSIDE STORAGE,RESIDENTIAL,717 N CRAWFORD ST
CE1301-0111,PARKING,BLOCKING SIDEWALK,1016 DIXON LN
CE1301-0112,DANGEROUS BUILDINGS,RESIDENTIAL,719 HILL ST
CE1301-0113,TRASHDEBRIS,RESIDENTIAL,3327 WESTGATE DR
CE1301-0114,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,1001  COLLIER ST
CE1301-0115,MINIMUM BUILDING STA,ROOFS AND DRAINAGE,1001  COLLIER ST
CE1301-0116,GRAFFITI,COMMERCIAL,915 S AVE C
CE1301-0117,GRAFFITI,COMMERCIAL,901-1129 S AVE C
CE1301-0118,TRASHDEBRIS,COMMERCIAL,915 S AVE C
CE1301-0119,TRASHDEBRIS,COMMERCIAL,917 S AVE C
CE1301-0120,PARKING,SINGLE FAMILY,919 S AVE B
CE1301-0121,TRASHDEBRIS,RESIDENTIAL,916 AVE B
CE1301-0122,TRASHDEBRIS,RESIDENTIAL,1305 FANNIN ST
CE1301-0123,TRASHDEBRIS,RESIDENTIAL,1215 FANNIN ST
CE1301-0124,TRASHDEBRIS,RESIDENTIAL,1209 FANNIN ST
CE1301-0125,TRASHDEBRIS,RESIDENTIAL,1207 FANNIN ST
CE1301-0126,OUTSIDE STORAGE,RESIDENTIAL,1207 FANNIN ST
CE1301-0127,OUTSIDE STORAGE,RESIDENTIAL,920 LINDSEY ST
CE1301-0128,PARKING,SINGLE FAMILY,920 LINDSEY ST
CE1301-0129,TRASHDEBRIS,RESIDENTIAL,920 LINDSEY ST
CE1301-0130,OUTSIDE STORAGE,RESIDENTIAL,1304 BERNARD ST
CE1301-0131,TRASHDEBRIS,RESIDENTIAL,1304 BERNARD ST
CE1301-0132,ILLEGAL DUMPING,CITY PROPERTY,800 blk Elm
CE1301-0133,ZONING,SIGNAGE,SOUTH I-35E OFF RAMP AT LILLI
CE1301-0134,GRAFFITI,CITY PROPERTY,1003 Maple
CE1301-0135,GRAFFITI,CITY PROPERTY,800 blk ELm
CE1301-0136,GRAFFITI,COMMERCIAL,809 N ELM ST
CE1301-0137,ILLEGAL DUMPING,CITY PROPERTY,800 blk Elm
CE1301-0138,OUTSIDE STORAGE,RESIDENTIAL,502 ROSE ST
CE1301-0139,TRASHDEBRIS,RESIDENTIAL,502 ROSE ST
CE1301-0140,ZONING,UNRELATED PEOPLE,502 ROSE ST
CE1301-0141,CERTIFICATE OF OCCUP,NEW BUSINESS,221 S BELL AVE
CE1301-0142,CERTIFICATE OF OCCUP,NEW BUSINESS,4216 N I-35
CE1301-0143,PARKING,SINGLE FAMILY,1001 HILL ST
CE1301-0144,CERTIFICATE OF OCCUP,NEW BUSINESS,216 AUSTIN & 118-22 E MCKINNEY
CE1301-0145,CERTIFICATE OF OCCUP,NEW BUSINESS,2310 W OAK ST
CE1301-0146,OUTSIDE STORAGE,RESIDENTIAL,1001 HILL ST
CE1301-0147,OUTSIDE STORAGE,RESIDENTIAL,511 COLLINS ST
CE1301-0148,OUTSIDE STORAGE,RESIDENTIAL,511 COLLINS ST
CE1301-0149,VIEW OBSTRUCTION,,1087 HICKORY CREEK RD
CE1301-0150,TRASHDEBRIS,RESIDENTIAL,3509 RANCHMAN BLVD
CE1301-0151,INOPERABLE VEHICLE,MOTOR VEHICLE,1905 MCCORMICK ST
CE1301-0152,TRASHDEBRIS,RESIDENTIAL,934 SCOTT DR
CE1301-0153,FENCES,RESIDENTIAL,1200 RAMSEY CT
CE1301-0154,TRASHDEBRIS,COMMERCIAL,1420-1426 N ELM ST
CE1301-0155,ZONING,ILLEGAL LAND USE,2321 W UNIVERSITY DR
CE1301-0156,TRASHDEBRIS,RESIDENTIAL,2512 WESTHEIMER RD
CE1301-0157,OUTSIDE STORAGE,RESIDENTIAL,934 SCOTT DR
CE1301-0158,PARKING,SINGLE FAMILY,703 KERLEY ST
CE1301-0159,PARKING,DUPLEX,518 BOLIVAR ST
CE1301-0160,TRASHDEBRIS,RESIDENTIAL,1017 BOLIVAR ST
CE1301-0161,TRASHDEBRIS,RESIDENTIAL,407 EGAN ST
CE1301-0162,MINIMUM BUILDING STA,UNSECURED AND VACANT,407 EGAN ST
CE1301-0163,PARKING,SINGLE FAMILY,804 EMERY ST
CE1301-0164,TRASHDEBRIS,RESIDENTIAL,806 ANDERSON ST
CE1301-0165,PARKING,SINGLE FAMILY,4121 REDSTONE RD
CE1301-0166,PARKING,SINGLE FAMILY,2900 N ELM ST
CE1301-0167,OUTSIDE STORAGE,RESIDENTIAL,4121 REDSTONE RD
CE1301-0168,TRASHDEBRIS,RESIDENTIAL,4121 REDSTONE RD
CE1301-0169,OUTSIDE STORAGE,RESIDENTIAL,3701 ALLISON DR
CE1301-0170,TRASHDEBRIS,RESIDENTIAL,3701 ALLISON DR
CE1301-0171,PARKING,SINGLE FAMILY,705 KERLEY ST
CE1301-0172,INOPERABLE VEHICLE,MOTOR VEHICLE,3709 NORTHPOINTE DR
CE1301-0173,OUTSIDE STORAGE,RESIDENTIAL,3709 NORTHPOINTE DR
CE1301-0174,OUTSIDE STORAGE,RESIDENTIAL,4211 REDSTONE RD
CE1301-0175,TRASHDEBRIS,RESIDENTIAL,4211 REDSTONE RD
CE1301-0176,TRASHRECYCLE BINS,CURB WRONG TIME,1408 SANTOS DR
CE1301-0177,INOPERABLE VEHICLE,RESIDENTIAL,2800 BLK N BELL
CE1301-0178,TRASHDEBRIS,RESIDENTIAL,3516 SUNNYDALE LN
CE1301-0179,TRASHRECYCLE BINS,CURB WRONG TIME,1412 SANTOS DR
CE1301-0180,TRASHRECYCLE BINS,CURB WRONG TIME,3437 CRISOFORO DR
CE1301-0181,PARKING,SINGLE FAMILY,711 KERLEY ST
CE1301-0182,TRASHDEBRIS,RESIDENTIAL,3449 CRISOFORO DR
CE1301-0183,OUTSIDE STORAGE,RESIDENTIAL,3516 SUNNYDALE LN
CE1301-0184,OUTSIDE STORAGE,RESIDENTIAL,3402 SAGEBRUSH DR
CE1301-0185,TRASHRECYCLE BINS,CURB WRONG TIME,1412 EUFEMIA DR
CE1301-0186,PARKING,SINGLE FAMILY,1520 MORIN DR
CE1301-0187,OUTSIDE STORAGE,RESIDENTIAL,1715 RINEY RD
CE1301-0188,TRASHDEBRIS,RESIDENTIAL,1715 RINEY RD
CE1301-0189,OUTSIDE STORAGE,RESIDENTIAL,3307 HUISACHE ST
CE1301-0190,PARKING,DUPLEX,"3716 N ELM A,B,C ST"
CE1301-0191,OUTSIDE STORAGE,RESIDENTIAL,2512 WESTHEIMER RD
CE1301-0192,ZONING,ILLEGAL LAND USE,410 RUTH ST
CE1301-0193,TRASHDEBRIS,RESIDENTIAL,400 CORONADO DR
CE1301-0194,TRASHDEBRIS,RESIDENTIAL,3904 TITAN TRAIL
CE1301-0195,PARKING,BLOCKING SIDEWALK,414 RUTH ST
CE1301-0196,OUTSIDE STORAGE,RESIDENTIAL,612 PARK LN
CE1301-0197,ZONING,SIGNAGE,2803 FORT WORTH DR
CE1301-0198,ZONING,SIGNAGE,2803 FORT WORTH DR
CE1301-0199,ZONING,SIGNAGE,3612 E MCKINNEY ST
CE1301-0200,ZONING,SIGNAGE,350 S LOOP 288
CE1301-0201,FENCES,COMMERCIAL,800 LOOP 288
CE1301-0202,TRASHDEBRIS,COMMERCIAL,LOOP 288
CE1301-0203,ZONING,SIGNAGE,1350 S LOOP 288
CE1301-0204,ZONING,SIGNAGE,1700 WOODBROOK ST
CE1301-0205,MINIMUM BUILDING STA,NO ADDRESS POSTED,1700 WOODBROOK ST
CE1301-0206,ZONING,SIGNAGE,4605 HIDDEN MEADOWS TRL
CE1301-0207,ZONING,SIGNAGE,2434 LILLIAN MILLER PKWY
CE1301-0208,ZONING,SIGNAGE,3201 TEASLEY LN
CE1301-0209,FENCES,COMMERCIAL,2101 COLORADO BLVD
CE1301-0210,TRASHDEBRIS,COMMERCIAL,2101 COLORADO BLVD
CE1301-0211,ZONING,SIGNAGE,1501 S LOOP 288
CE1301-0212,ZONING,SIGNAGE,THROUGHOUT
CE1301-0213,ZONING,SIGNAGE,828 E MCKINNEY ST
CE1301-0214,TRASHDEBRIS,COMMERCIAL,McKinney
CE1301-0215,MINIMUM BUILDING STA,ROOFS AND DRAINAGE,1216 ECTOR ST
CE1301-0216,TRASHDEBRIS,RESIDENTIAL,1216 ECTOR ST
CE1301-0217,ZONING,UNRELATED PEOPLE,1216 ECTOR ST
CE1301-0218,TRASHDEBRIS,RESIDENTIAL,2601 S MAYHILL RD LOT 88
CE1301-0219,OUTSIDE STORAGE,RESIDENTIAL,1207 ANNA ST
CE1301-0220,PARKING,SINGLE FAMILY,301 TRIPP TRL
CE1301-0221,TRASHDEBRIS,RESIDENTIAL,2400 ACORN BND
CE1301-0222,TRASHDEBRIS,RESIDENTIAL,3336 BROOKE DR
CE1301-0223,PARKING,BLOCKING SIDEWALK,2208 ACORN BND
CE1301-0224,ZONING,POD,3317 BROOKE ST
CE1301-0225,TRASHDEBRIS,RESIDENTIAL,3317 BROOKE ST
CE1301-0226,FENCES,RESIDENTIAL,7820 SHOAL BND
CE1301-0227,PARKING,BLOCKING SIDEWALK,7713 SHOAL BND
CE1301-0228,TRASHDEBRIS,RESIDENTIAL,1505 WHITE DOVE LN
CE1301-0229,TRASHDEBRIS,RESIDENTIAL,8204 SEVEN OAKS LN
CE1301-0230,PARKING,BLOCKING SIDEWALK,8004 SEVEN OAKS LN
CE1301-0231,TRASHDEBRIS,RESIDENTIAL,7912 SEVEN OAKS LN
CE1301-0232,TRASHDEBRIS,RESIDENTIAL,341 CASIE CT
CE1301-0233,TRASHDEBRIS,RESIDENTIAL,7701 SEVEN OAKS LN
CE1301-0234,PARKING,BLOCKING SIDEWALK,1316 WHITE DOVE LN
CE1301-0235,OUTSIDE STORAGE,RESIDENTIAL,416 BENJAMIN ST
CE1301-0236,TRASHRECYCLE BINS,LOCATION,719 N CRAWFORD ST
CE1301-0237,TRASHDEBRIS,RESIDENTIAL,3210  FALLMEADOW ST
CE1301-0238,TRASHDEBRIS,RESIDENTIAL,3309 FALLMEADOW ST
CE1301-0239,TRASHDEBRIS,RESIDENTIAL,603 GARDENVIEW CIR
CE1301-0240,TRASHDEBRIS,COMMERCIAL,2508 CHARLOTTE
CE1301-0241,PARKING,SINGLE FAMILY,1304 PAISLEY ST
CE1301-0242,OUTSIDE STORAGE,RESIDENTIAL,1304 PAISLEY ST
CE1301-0243,TRASHDEBRIS,RESIDENTIAL,1304 PAISLEY ST
CE1301-0244,OUTSIDE STORAGE,RESIDENTIAL,812 N WOOD ST
CE1301-0245,OUTSIDE STORAGE,RESIDENTIAL,809 N WOOD ST
CE1301-0246,INOPERABLE VEHICLE,MOTOR VEHICLE,809 N WOOD ST
CE1301-0247,TRASHDEBRIS,RESIDENTIAL,1004 REED RD
CE1301-0248,TRASHDEBRIS,RESIDENTIAL,313 S WOOD ST
CE1301-0249,TRASHDEBRIS,RESIDENTIAL,329 MAPLE ST
CE1301-0250,OUTSIDE STORAGE,RESIDENTIAL,519 N WOOD ST
CE1301-0251,TRASHRECYCLE BINS,LOCATION,519 N WOOD ST
CE1301-0252,TRASHDEBRIS,RESIDENTIAL,1317 AMHERST DR
CE1301-0253,TRASHDEBRIS,COMMERCIAL,1804 CORNELL LN
CE1301-0254,PARKING,SINGLE FAMILY,620 N FRAME ST
CE1301-0255,TRASHDEBRIS,RESIDENTIAL,1724 LINDEN DR
CE1301-0256,OUTSIDE STORAGE,RESIDENTIAL,323 N WOOD ST
CE1301-0257,TRASHRECYCLE BINS,RESIDENTIAL,323 N WOOD ST
CE1301-0258,PARKING,SINGLE FAMILY,318 N WOOD ST
CE1301-0259,MINIMUM BUILDING STA,NO ADDRESS POSTED,318 N WOOD ST
CE1301-0260,OUTSIDE STORAGE,RESIDENTIAL,314 N WOOD ST
CE1301-0261,OUTSIDE STORAGE,RESIDENTIAL,406 N RUDDELL ST
CE1301-0262,PARKING,SINGLE FAMILY,428 N RUDDELL ST
CE1301-0263,OUTSIDE STORAGE,RESIDENTIAL,514 RUDDELL ST
CE1301-0264,TRASHDEBRIS,RESIDENTIAL,706 RUDDELL ST
CE1301-0265,MINIMUM BUILDING STA,NO ADDRESS POSTED,706 RUDDELL ST
CE1301-0266,OUTSIDE STORAGE,RESIDENTIAL,2601 S MAYHILL RD LOT 85
CE1301-0267,PARKING,BLOCKING SIDEWALK,8800 SWAN PARK DR
CE1301-0268,OUTSIDE STORAGE,RESIDENTIAL,521 NEPTUNE DR
CE1301-0269,OUTSIDE STORAGE,RESIDENTIAL,8716 SERENITY WAY
CE1301-0270,TRASHDEBRIS,RESIDENTIAL,8716 SERENITY WAY
CE1301-0271,TRASHDEBRIS,RESIDENTIAL,8221 CLEAR RIVER LN
CE1301-0272,TRASHDEBRIS,RESIDENTIAL,521 NEPTUNE DR
CE1301-0273,TRASHRECYCLE BINS,RESIDENTIAL,521 NEPTUNE DR
CE1301-0274,PARKING,BLOCKING SIDEWALK,1609 GLENDORA CT
CE1301-0275,TRASHDEBRIS,RESIDENTIAL,1704 GLENDORA CT
CE1301-0276,TRASHDEBRIS,RESIDENTIAL,1205 PALO VERDE DR
CE1301-0277,PARKING,SINGLE FAMILY,517 APOLLO DR
CE1301-0278,OUTSIDE STORAGE,RESIDENTIAL,1208 BUENA VISTA DR
CE1301-0279,TRASHDEBRIS,RESIDENTIAL,1208 BUENA VISTA DR
CE1301-0280,TRASHDEBRIS,RESIDENTIAL,7112 FROST LN
CE1301-0281,OUTSIDE STORAGE,RESIDENTIAL,4204 COMER ST
CE1301-0282,TRASHDEBRIS,RESIDENTIAL,8305 SERENITY WAY
CE1301-0283,OUTSIDE STORAGE,RESIDENTIAL,903 SAVAGE DR
CE1301-0284,TRASHDEBRIS,RESIDENTIAL,903 SAVAGE DR
CE1301-0285,PARKING,SINGLE FAMILY,1117 SAVAGE DR
CE1301-0286,TRASHDEBRIS,RESIDENTIAL,713 PERSHING DR
CE1301-0287,OUTSIDE STORAGE,RESIDENTIAL,613 PERSHING DR
CE1301-0288,PARKING,SINGLE FAMILY,712 JUNO LN
CE1301-0289,TRASHDEBRIS,RESIDENTIAL,3900 TITAN TRAIL
CE1301-0290,INOPERABLE VEHICLE,MOTOR VEHICLE,3901 TITAN TRAIL
CE1301-0291,OUTSIDE STORAGE,RESIDENTIAL,1008 E PRAIRIE ST
CE1301-0292,TRASHDEBRIS,RESIDENTIAL,1008 E PRAIRIE ST
CE1301-0293,TRASHRECYCLE BINS,LOCATION,1008 E PRAIRIE ST
CE1301-0294,INOPERABLE VEHICLE,MOTOR VEHICLE,1008 E PRAIRIE ST
CE1301-0295,PARKING,SINGLE FAMILY,1316 MYRTLE ST
CE1301-0296,OUTSIDE STORAGE,RESIDENTIAL,1400 MYRTLE ST
CE1301-0297,PARKING,SINGLE FAMILY,511 FORT WORTH DR
CE1301-0298,TRASHDEBRIS,RESIDENTIAL,1328 MYRTLE ST
CE1301-0299,TRASHDEBRIS,RESIDENTIAL,1402 SOMBRA VISTA DR
CE1301-0300,TRASHDEBRIS,RESIDENTIAL,1408 SOMBRA VISTA DR
CE1301-0301,ILLEGAL DUMPING,CITY PROPERTY,711 JACKSON ST(BEHIND@ HILL AL
CE1301-0302,TRASHDEBRIS,VACANT LOT,716 CORONADO DR
CE1301-0303,PARKING,SINGLE FAMILY,3400 CACTUS CIR
CE1301-0304,OUTSIDE STORAGE,RESIDENTIAL,3300 HUISACHE ST
CE1301-0305,TRASHDEBRIS,RESIDENTIAL,3300 HUISACHE ST
CE1301-0306,TRASHDEBRIS,RESIDENTIAL,700 ASPEN DR
CE1301-0307,PARKING,SINGLE FAMILY,329 MAPLE ST
CE1301-0308,TRASHRECYCLE BINS,CURB WRONG TIME,1421 E WINDSOR DR
CE1301-0309,TRASHRECYCLE BINS,CURB WRONG TIME,1415 HEATHER LN
CE1301-0310,TRASHRECYCLE BINS,CURB WRONG TIME,1411 HEATHER LN
CE1301-0311,TRASHRECYCLE BINS,CURB WRONG TIME,1407 HEATHER LN
CE1301-0312,TRASHRECYCLE BINS,CURB WRONG TIME,1401 HEATHER LN
CE1301-0313,TRASHRECYCLE BINS,CURB WRONG TIME,1329 HEATHER LN
CE1301-0314,TRASHRECYCLE BINS,CURB WRONG TIME,1325 HEATHER LN
CE1301-0315,TRASHRECYCLE BINS,CURB WRONG TIME,1201 OXFORD LN
CE1301-0316,TRASHRECYCLE BINS,CURB WRONG TIME,1301 OXFORD LN
CE1301-0317,TRASHRECYCLE BINS,CURB WRONG TIME,1200 OXFORD LN
CE1301-0318,TRASHRECYCLE BINS,CURB WRONG TIME,1320 HEATHER LN
CE1301-0319,TRASHRECYCLE BINS,CURB WRONG TIME,1324 HEATHER LN
CE1301-0320,TRASHRECYCLE BINS,CURB WRONG TIME,1328 HEATHER LN
CE1301-0321,TRASHRECYCLE BINS,CURB WRONG TIME,1402 HEATHER LN
CE1301-0322,DANGEROUS BUILDINGS,COMMERCIAL,1400 S LOCUST ST
CE1301-0323,TRASHRECYCLE BINS,CURB WRONG TIME,1408 HEATHER LN
CE1301-0324,TRASHRECYCLE BINS,CURB WRONG TIME,1415 E WINDSOR DR
CE1301-0325,DANGEROUS BUILDINGS,COMMERCIAL,1400 S LOCUST ST
CE1301-0326,TRASHDEBRIS,RESIDENTIAL,"301 S BRADSHAW,1002 E SYCAMORE"
CE1301-0327,MINIMUM BUILDING STA,NO ADDRESS POSTED,303 S BRADSHAW ST
CE1301-0328,FENCES,RESIDENTIAL,303 S BRADSHAW ST
CE1301-0329,TRASHDEBRIS,RESIDENTIAL,303 S BRADSHAW ST
CE1301-0330,OUTSIDE STORAGE,RESIDENTIAL,612 RIDGECREST CIR
CE1301-0331,TRASHDEBRIS,RESIDENTIAL,612 RIDGECREST CIR
CE1301-0332,ZONING,UNRELATED PEOPLE,612 RIDGECREST CIR
CE1301-0333,TRASHDEBRIS,RESIDENTIAL,725 DRIFTWOOD TRL
CE1301-0334,OUTSIDE STORAGE,RESIDENTIAL,725 DRIFTWOOD TRL
CE1301-0335,TRASHDEBRIS,RESIDENTIAL,725 DRIFTWOOD TRL
CE1301-0336,OUTSIDE STORAGE,RESIDENTIAL,719 CHISHOLM TRAIL
CE1301-0337,OUTSIDE STORAGE,RESIDENTIAL,719 CHISHOLM TRAIL
CE1301-0338,TRASHDEBRIS,RESIDENTIAL,401 CONDITT CIR
CE1301-0339,OUTSIDE STORAGE,RESIDENTIAL,600 CHISHOLM TRAIL
CE1301-0340,TRASHDEBRIS,RESIDENTIAL,600 CHISHOLM TRAIL
CE1301-0341,TRASHDEBRIS,RESIDENTIAL,400 CONDITT CIR
CE1301-0342,ZONING,SIGNAGE,5000 Teasley
CE1301-0343,FENCES,RESIDENTIAL,215 N WOOD ST
CE1301-0344,TRASHDEBRIS,VACANT LOT,215 N WOOD ST
CE1301-0345,OUTSIDE STORAGE,RESIDENTIAL,2601 S MAYHILL RD LOT 218
CE1301-0346,OUTSIDE STORAGE,RESIDENTIAL,409 MARIETTA ST
CE1301-0347,TRASHDEBRIS,RESIDENTIAL,409 MARIETTA ST
CE1301-0348,FENCES,COMMERCIAL,201 DALLAS DR
CE1301-0349,ZONING,ILLEGAL LAND USE,405 FORT WORTH DR
CE1301-0350,ZONING,ILLEGAL LAND USE,1305 N I-35E
CE1301-0351,TRASHDEBRIS,RESIDENTIAL,1517 WILLOWOOD ST
CE1301-0352,TRASHDEBRIS,RESIDENTIAL,1600 WILLOWWOOD ST
